Video,Runtime,Iterations
uav0000070_02088_s,0.24263381958007812,5
uav0000070_04877_s,0.15416526794433594,3
uav0000071_00816_s,0.48130369186401367,11
uav0000071_01536_s,0.5384817123413086,13
uav0000071_02520_s,0.1503140926361084,3
uav0000072_02544_s,1.3908860683441162,35
uav0000072_03792_s,0.4114692211151123,10
uav0000072_04680_s,0.09933853149414062,2
uav0000072_06672_s,0.13945221900939941,3
uav0000072_08448_s,0.14735198020935059,3
uav0000076_00241_s,0.10087418556213379,1
uav0000080_01680_s,0.6213836669921875,14
uav0000084_00000_s,0.4421114921569824,18
uav0000084_00812_s,0.23315048217773438,10
uav0000085_00000_s,0.049750328063964844,1
uav0000089_00920_s,0.2365250587463379,6
uav0000090_00276_s,0.4179239273071289,12
uav0000090_01104_s,0.7801671028137207,32
uav0000091_00460_s,4.34161901473999,133
uav0000091_01035_s,0.24034547805786133,7
uav0000091_01288_s,0.1558518409729004,5
uav0000091_02530_s,0.13660788536071777,5
uav0000099_02520_s,0.21369218826293945,8
uav0000107_01763_s,3.363790273666382,156
uav0000126_07915_s,0.1403944492340088,1
uav0000144_01980_s,0.5892713069915771,7
uav0000144_03200_s,0.1964278221130371,2
uav0000147_00000_s,0.1387481689453125,1
uav0000148_00840_s,0.7085621356964111,8
uav0000149_00317_s,0.49823522567749023,5
uav0000159_00000_s,0.504584550857544,21
uav0000160_00000_s,1.0952708721160889,44
uav0000169_00000_s,0.20081734657287598,8
uav0000170_00000_s,0.21293878555297852,8
