Video,Runtime,Iterations
uav0000070_02088_s,0.24414324760437012,5
uav0000070_04877_s,0.33459997177124023,7
uav0000071_00816_s,0.9963634014129639,25
uav0000071_01536_s,1.405719518661499,36
uav0000071_02520_s,3.8046774864196777,95
uav0000072_02544_s,1.630756139755249,41
uav0000072_03792_s,6.473458290100098,157
uav0000072_04680_s,1.7519116401672363,42
uav0000072_06672_s,2.6200337409973145,64
uav0000072_08448_s,0.37996935844421387,9
uav0000076_00241_s,0.09807467460632324,1
uav0000080_01680_s,1.1622974872589111,27
uav0000084_00000_s,0.4211437702178955,18
uav0000084_00812_s,0.8906023502349854,40
uav0000085_00000_s,0.04938173294067383,1
uav0000089_00920_s,48.7596800327301,1380
uav0000090_00276_s,6.360208511352539,209
uav0000090_01104_s,6.301293134689331,284
uav0000091_00460_s,7.001493453979492,221
uav0000091_01035_s,4.218631744384766,131
uav0000091_01288_s,5.397902488708496,232
uav0000091_02530_s,5.514996290206909,230
uav0000099_02520_s,0.23571538925170898,9
uav0000107_01763_s,3.4801435470581055,158
uav0000126_07915_s,0.13563251495361328,1
uav0000144_01980_s,1.142209768295288,14
uav0000144_03200_s,0.20019841194152832,2
uav0000147_00000_s,0.14322185516357422,1
uav0000148_00840_s,23.563196182250977,269
uav0000149_00317_s,5.307961940765381,61
uav0000159_00000_s,0.5203614234924316,22
uav0000160_00000_s,0.4967331886291504,21
uav0000169_00000_s,1.4021174907684326,59
uav0000170_00000_s,3.4150826930999756,140
