"uav0000070_02088_s (AOS=0.0, TL=217)",,"uav0000070_04877_s (AOS=0.0, TL=332)",,"uav0000071_00816_s (AOS=0.0, TL=505)",,"uav0000071_01536_s (AOS=0.0, TL=481)",,"uav0000071_02520_s (AOS=0.0, TL=0)",,"uav0000072_02544_s (AOS=0.026951513083469644, TL=69)",,"uav0000072_03792_s (AOS=0.0, TL=0)",,"uav0000072_04680_s (AOS=0.0, TL=0)",,"uav0000072_06672_s (AOS=0.0, TL=0)",,"uav0000072_08448_s (AOS=0.0, TL=0)",,"uav0000076_00241_s (AOS=0.002140951475714305, TL=0)",,"uav0000080_01680_s (AOS=0.0681614763886783, TL=147)",,"uav0000084_00000_s (AOS=0.2042337560930491, TL=0)",,"uav0000084_00812_s (AOS=0.0, TL=0)",,"uav0000085_00000_s (AOS=4.086615287084724e-05, TL=0)",,"uav0000089_00920_s (AOS=0.09440746684132514, TL=183)",,"uav0000090_00276_s (AOS=0.0, TL=415)",,"uav0000090_01104_s (AOS=0.0, TL=737)",,"uav0000091_00460_s (AOS=0.10399369314778228, TL=98)",,"uav0000091_01035_s (AOS=0.39503256354537264, TL=208)",,"uav0000091_01288_s (AOS=0.05366354725228362, TL=154)",,"uav0000091_02530_s (AOS=0.0, TL=0)",,"uav0000099_02520_s (AOS=0.0, TL=1041)",,"uav0000107_01763_s (AOS=0.0, TL=0)",,"uav0000126_07915_s (AOS=0.0, TL=630)",,"uav0000144_01980_s (AOS=0.04564414338052968, TL=6)",,"uav0000144_03200_s (AOS=0.0220848100159242, TL=0)",,"uav0000147_00000_s (AOS=0.0, TL=0)",,"uav0000148_00840_s (AOS=0.0, TL=807)",,"uav0000149_00317_s (AOS=0.0, TL=2341)",,"uav0000159_00000_s (AOS=0.07960135286826928, TL=49)",,"uav0000160_00000_s (AOS=0.08658734673051158, TL=490)",,"uav0000169_00000_s (AOS=0.13657983207142027, TL=293)",,"uav0000170_00000_s (AOS=0.0, TL=0)",
IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.69412236331676,0.25862068965517243,14.317821063276353,0.0,144.34680460612904,0.0,408.23155194080726,0.0,176.02556632489498,0.0,296.46753616542907,0.14546959547496052,98.2344135219425,0.42424242424242425,8.602325267042627,0.17216117216117216,74.65252842335616,0.0,292.95904150580503,0.0672248214725437,106.16967551989597,0.061224489795918366,16.55294535724685,0.0,13.038404810405298,0.0,18.110770276274835,0.3793103448275862,4.0,0.5454545454545454,3.605551275463989,0.275,7.810249675906654,0.0,33.24154027718932,0.0,0.0,0.0,115.00434774390054,0.0,0.0,0.6663278271918679,12.206555615733702,0.041831097079715863,86.33075929238663,0.0,483.1035085776132,0.0,0.0,0.0,0.0,0.375,4.123105625617661,0.5991316931982634,15.811388300841896,0.7333333333333333,6.708203932499369,0.0,40.311288741492746
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.90826320300064,0.2564102564102564,13.416407864998739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14770656648595146,96.82974749528164,0.400350525788683,10.0,0.16345241858994625,74.02702209328699,0.0,0.0,0.0,0.0,0.04,17.46424919657298,0.0,0.0,0.0,0.0,0.3793103448275862,4.0,0.6,2.0,0.2801724137931034,7.211102550927978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.636386323933117,13.601470508735444,0.041831097079715863,86.33075929238663,0.0,0.0,0.0,0.0,0.0,0.0,0.375,5.0990195135927845,0.5919526341227647,16.1245154965971,0.7333333333333333,6.708203932499369,0.0,51.24451190127583
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.876925020897694,0.2571902654867257,13.416407864998739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14692984067052073,96.67471230885562,0.4087736789631107,10.0,0.16278039547340017,72.00694410957877,0.0,0.0,0.0,0.0,0.04,17.88854381999832,0.0,0.0,0.0,0.0,0.3793103448275862,4.0,0.6,2.0,0.2801724137931034,7.211102550927978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6063204311611955,15.264337522473747,0.04637336504161712,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,5.0990195135927845,0.597511891694109,15.264337522473747,0.7727272727272727,5.830951894845301,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0966987850401,0.2621518296013108,11.704699910719626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1478019256036358,95.90099061010788,0.3857566765578635,11.40175425099138,0.15650125883212865,71.40028011149536,0.0,0.0,0.0,0.0,0.04,17.88854381999832,0.0,0.0,0.0,0.0,0.3793103448275862,4.123105625617661,0.6,2.0,0.2801724137931034,7.211102550927978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5669733540446887,17.204650534085253,0.04637336504161712,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,5.0990195135927845,0.597511891694109,15.264337522473747,0.7727272727272727,5.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0966987850401,0.26232114467408585,11.704699910719626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14878797888714745,95.13148795220224,0.3725202057310801,12.041594578792296,0.15563558094291982,70.21395872616783,0.0,0.0,0.0,0.0,0.061224489795918366,17.0,0.0,0.0,0.0,0.0,0.3793103448275862,4.123105625617661,0.6,2.0,0.2801724137931034,7.211102550927978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5534233593935086,18.027756377319946,0.04727272727272727,84.581321815162,0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,5.0990195135927845,0.5953144266337854,14.422205101855956,0.7727272727272727,4.242640687119285,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.324560795950255,0.26004728132387706,10.770329614269007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1565176817972896,89.62700485902673,0.3725202057310801,12.041594578792296,0.15368491657583633,68.24221567329127,0.0,0.0,0.0,0.0,0.061224489795918366,17.0,0.0,0.0,0.0,0.0,0.3793103448275862,4.123105625617661,0.6,2.0,0.2801724137931034,7.211102550927978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.517648420321722,20.0,0.04727272727272727,84.581321815162,0.0,0.0,0.0,0.0,0.0,0.0,0.375,6.082762530298219,0.6094041547456152,13.892443989449804,0.7727272727272727,5.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.28841264178172,0.2622107969151671,10.44030650891055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16048762701486685,86.6083136886985,0.3913697942799799,10.63014581273465,0.15269525071602616,65.45991139621256,0.0,0.0,0.0,0.0,0.10638297872340426,15.264337522473747,0.0,0.0,0.0,0.0,0.3793103448275862,4.123105625617661,0.6,2.0,0.2801724137931034,7.211102550927978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49311169304337926,21.633307652783937,0.052072263549415514,83.2586331859946,0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,5.0990195135927845,0.6013446215139442,13.892443989449804,0.7727272727272727,5.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.25335240430181,0.2641509433962264,9.486832980505138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1568807773713003,86.82165628459296,0.3786746387643249,10.63014581273465,0.15068018369292088,64.35060217278468,0.0,0.0,0.0,0.0,0.1223021582733813,15.0,0.0,0.0,0.0,0.0,0.3793103448275862,4.123105625617661,0.6,2.0,0.2801724137931034,7.211102550927978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4613327390238467,23.600847442411894,0.05567338282078473,83.2586331859946,0.0,0.0,0.0,0.0,0.0,0.0,0.375,6.082762530298219,0.6013446215139442,13.892443989449804,0.7727272727272727,5.830951894845301,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.52098900352466,0.2635431918008785,9.848857801796104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15292813572372047,87.66413177577246,0.3925515853044791,9.899494936611665,0.1495558403677023,63.28506932918696,0.0,0.0,0.0,0.0,0.17,13.45362404707371,0.0,0.0,0.0,0.0,0.3793103448275862,4.123105625617661,0.6,2.0,0.2801724137931034,7.211102550927978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47265581134194273,22.80350850198276,0.052072263549415514,83.2586331859946,0.0,0.0,0.0,0.0,0.0,0.0,0.3697253851306095,6.324555320336759,0.5991189427312775,13.038404810405298,0.7727272727272727,5.830951894845301,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.48308055437865,0.2612481857764877,9.848857801796104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14825899843505477,89.04493247793498,0.3939393939393939,9.219544457292887,0.14265309766113193,64.4980619863884,0.0,0.0,0.0,0.0,0.16279069767441862,12.083045973594572,0.0,0.0,0.0,0.0,0.3793103448275862,4.123105625617661,0.6,2.0,0.2801724137931034,7.211102550927978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5197589523699154,19.79898987322333,0.057057057057057055,81.93900170248598,0.0,0.0,0.0,0.0,0.0,0.0,0.37551020408163266,5.385164807134504,0.5910808767951625,13.038404810405298,0.6956521739130435,7.615773105863909,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.72001181334805,0.2612481857764877,8.94427190999916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1459764506477998,89.04493247793498,0.38578680203045684,9.219544457292887,0.13642342056329085,64.88451279003334,0.0,0.0,0.0,0.0,0.08163265306122448,15.652475842498529,0.0,0.0,0.0,0.0,0.3793103448275862,4.0,0.6,2.0,0.2801724137931034,7.211102550927978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6518453205693412,14.560219778561036,0.060735215769845495,81.93900170248598,0.0,0.0,0.0,0.0,0.0,0.0,0.3697253851306095,6.324555320336759,0.5910808767951625,13.038404810405298,0.6956521739130435,7.615773105863909,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.6804193347711,0.2612481857764877,8.94427190999916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14533174669539767,89.58794561770016,0.40947503201024327,7.810249675906654,0.13054951159668535,64.8459713474939,0.0,0.0,0.0,0.0,0.12934131736526946,14.317821063276353,0.0,0.0,0.0,0.0,0.3793103448275862,4.0,0.6,2.0,0.2801724137931034,7.211102550927978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6102652259332023,17.69180601295413,0.06186666666666667,81.54140052758476,0.0,0.0,0.0,0.0,0.0,0.0,0.37551020408163266,6.324555320336759,0.5752525252525252,13.038404810405298,0.6595744680851063,8.54400374531753,0.0,0.0
